Block,Trt,Nov,Dec,Jan,Feb,Mar
1,3,8,8,7,7,6
1,4,5,4,3,3,3
1,1,7,7,5,7,7
1,2,7,7,6,7,8
2,4,5,4,3,3,3
2,2,7,7,6,7,8
2,3,5.5,5,5,5,6
2,1,7,7,5,7,8
3,2,7,7,6,7,8
3,4,5,3,2,3,3
3,1,6,6,5,7,6
3,3,5.5,5,5,5,6
4,4,5,4,3,3,3
4,2,5.5,6,6,7,8
4,3,7,6,5.5,5.5,5
4,1,7,7,5,7,6
