Block,Trt,Month,Percent,month,vgrp
1,1,Nov,98.64632162,1,1
2,1,Nov,98.69840495,1,1
3,1,Nov,98.8811849,1,1
4,1,Nov,98.26627604,1,1
1,2,Nov,98.91796875,1,2
2,2,Nov,98.93180339,1,2
3,2,Nov,98.97721355,1,2
4,2,Nov,98.84879558,1,2
1,3,Nov,95.99951172,1,2
2,3,Nov,97.21875,1,2
3,3,Nov,97.43457032,1,2
4,3,Nov,97.81152344,1,2
1,1,Dec,97.99625651,2,1
2,1,Dec,98.23421224,2,1
3,1,Dec,98.48583984,2,1
4,1,Dec,97.42903646,2,1
1,2,Dec,99.11230469,2,2
2,2,Dec,99.16699219,2,2
3,2,Dec,99.00406901,2,2
4,2,Dec,98.99283855,2,2
1,3,Dec,84.25276693,2,2
2,3,Dec,88.58170573,2,2
3,3,Dec,89.12646485,2,2
4,3,Dec,88.39371745,2,2
1,1,Jan,96.46435547,3,1
2,1,Jan,96.56233724,3,1
3,1,Jan,96.9514974,3,1
4,1,Jan,95.4819336,3,1
1,2,Jan,98.42692057,3,2
2,2,Jan,98.69335938,3,2
3,2,Jan,98.37646485,3,2
4,2,Jan,98.5452474,3,2
1,3,Jan,91.50439453,3,2
2,3,Jan,92.45361328,3,2
3,3,Jan,91.84049479,3,2
4,3,Jan,93.80826823,3,2
1,1,Feb,99.11067708,4,1
2,1,Feb,99.2553711,4,1
3,1,Feb,99.08821615,4,1
4,1,Feb,98.80891927,4,1
1,2,Feb,99.47705078,4,2
2,2,Feb,99.46533203,4,2
3,2,Feb,99.33886719,4,2
4,2,Feb,99.4124349,4,2
1,3,Feb,96.94238281,4,2
2,3,Feb,97.87548828,4,2
3,3,Feb,97.45198568,4,2
4,3,Feb,97.33919271,4,2
