Block,Group,Peak,AUDPC
1,1,0,0
2,1,0,0
3,1,0,41.75
4,1,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
1,3,0,0
2,3,0.5,29.25
3,3,1,145.5
4,3,0.5,14.25
1,4,42,1930.5
2,4,63.5,2958
3,4,63,4707.5
4,4,51.5,3151.75
,,,
