Block,Group,Peak,AUDPC
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0.5,107.75
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
1,4,40,573.5
2,4,54,1702
3,4,30.5,597
4,4,58.5,1646.25
